epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,414.193,0.83775,0.38803,0.78158,1,0.96297,0.99348,0.77704,0.91492,0.40705,0.8143,0.0006041,0.0006041,0.0006041
143,416.188,0.82284,0.38714,0.77892,1,0.96297,0.99348,0.77704,0.91492,0.40705,0.8143,0.0005942,0.0005942,0.0005942
144,418.247,0.91851,0.39971,0.79816,1,0.96274,0.99447,0.77359,0.94262,0.40575,0.81454,0.0005843,0.0005843,0.0005843
145,420.341,0.85013,0.39024,0.78104,1,0.96274,0.99447,0.77359,0.94262,0.40575,0.81454,0.0005744,0.0005744,0.0005744
146,422.896,0.85811,0.39341,0.77626,1,0.9638,0.995,0.79564,0.91702,0.39868,0.81283,0.0005645,0.0005645,0.0005645
147,428.762,0.82343,0.37646,0.77407,1,0.9638,0.995,0.79564,0.91702,0.39868,0.81283,0.0005546,0.0005546,0.0005546
148,431.301,0.89273,0.40099,0.78337,1,0.98959,0.995,0.78351,0.92146,0.40125,0.81513,0.0005447,0.0005447,0.0005447
149,433.405,0.90713,0.39562,0.78231,1,0.98959,0.995,0.78351,0.92146,0.40125,0.81513,0.0005348,0.0005348,0.0005348
150,435.91,0.90041,0.39874,0.78954,0.98233,0.99275,0.99447,0.77602,0.90965,0.3957,0.81609,0.0005249,0.0005249,0.0005249
151,437.969,0.86806,0.39087,0.7693,0.98233,0.99275,0.99447,0.77602,0.90965,0.3957,0.81609,0.000515,0.000515,0.000515
152,440.039,0.88797,0.39932,0.79049,0.99876,1,0.995,0.78455,0.88123,0.39685,0.81735,0.0005051,0.0005051,0.0005051
153,442.143,0.85801,0.3935,0.80213,0.99876,1,0.995,0.78455,0.88123,0.39685,0.81735,0.0004952,0.0004952,0.0004952
154,444.11,0.87293,0.40062,0.78752,0.99452,1,0.995,0.7837,0.88431,0.3804,0.81631,0.0004853,0.0004853,0.0004853
155,449.273,0.7925,0.38274,0.78647,0.99452,1,0.995,0.7837,0.88431,0.3804,0.81631,0.0004754,0.0004754,0.0004754
156,451.299,0.77987,0.36232,0.78031,0.99336,1,0.995,0.7956,0.88626,0.3897,0.81336,0.0004655,0.0004655,0.0004655
157,453.405,0.84043,0.38624,0.7789,0.99336,1,0.995,0.7956,0.88626,0.3897,0.81336,0.0004556,0.0004556,0.0004556
158,455.436,0.80139,0.39211,0.79218,1,0.99337,0.995,0.79654,0.88275,0.40311,0.81344,0.0004457,0.0004457,0.0004457
159,461.566,0.80547,0.38938,0.77757,1,0.99337,0.995,0.79654,0.88275,0.40311,0.81344,0.0004358,0.0004358,0.0004358
